"x"	"y"	"z"	"id"	"BHD"	"h"	"crownLength"	"crownArea"	"crownVolume"	"crownDiameter"	"tile"	"scanID"
-70,06208027	-54,72863792	-47,708	59	6,194	10,48	2,88	1,2	1,5	1,4	"tile_5_12"	1
-46,85052729	-81,32937203	-56,924	60	26,52749153	25,47	16,17	14,8	36,1	4,5	"tile_6_10"	1
-58,43744616	-70,11432845	-54,9	61	28,94857534	34,6	32,7	26,8	60,8	6,9	"tile_5_11"	1
-47,24237653	-1,818093533	-8,661	62	30,80865469	28,73	0	0	0	0	"tile_6_14"	1
-79,65055163	-51,49078588	-49,24	63	11,16307704	14,9	7,7	6,4	10,1	3,1	"tile_4_12"	1
-47,13556393	-76,0582927	-53,957	64	22,53750562	25,46	16,26	18,1	41,2	5,2	"tile_6_10"	1
-55,31939905	-65,3809788	-51,184	65	5,48972935	5,59	4,39	7,8	9,4	3,4	"tile_6_11"	1
-46,17124103	-33,29206818	-28,195	66	18,85718213	25,92	13,42	13,9	20,2	4,7	"tile_6_13"	1
-74,71033768	-52,97338998	-47,802	67	5,28552782	5,67	0	0	0	0	"tile_5_12"	1
-70,49189429	-54,45363031	-47,77	68	4,877838509	3,86	0	0	0	0	"tile_5_12"	1
-52,66481926	-76,06403873	-55,761	69	26,9914293	19,36	11,91	21,8	39,3	6	"tile_6_10"	1
-51,93714798	-4,571296328	-11,905	70	26,66887601	29,85	25,45	22,2	46,9	5,5	"tile_6_14"	1
-40,72947145	-67,62861771	-47,675	71	35,60229008	24,08	0	0	0	0	"tile_6_11"	1
-48,63973925	-5,412246398	-11,004	72	35,34852174	28,65	25,65	26	63,6	6,2	"tile_6_14"	1
-56,85900383	-72,73615503	-55,331	73	13,56817696	23,3	21,6	13,7	31,4	4,8	"tile_5_11"	1
-43,03303236	-82,30159837	-56,06	74	26,36904065	25,86	17,91	20,7	48,8	5,5	"tile_6_10"	1
-47,9442985	-78,217968	-55,574	75	31,6079	27,35	15,55	16,1	34,7	4,9	"tile_6_10"	1
-49,19231259	-72,35129446	-53,474	76	6,230607143	6,61	5,46	9,5	15,9	3,9	"tile_6_11"	1
-70,26965622	10,05904411	-9,594	77	33,88851892	27,81	24,91	19,2	41,8	5,4	"tile_5_15"	1
-50,3012119	-80,13202571	-57,667	78	18,44704762	22,77	12,22	11	19,8	4,2	"tile_6_10"	1
-105,2714781	18,48027598	-18,613	79	20,70622751	23,42	11,07	14,6	27,4	4,7	"tile_3_15"	1
-44,01856603	-72,35592123	-52,034	80	5,839591572	2,29	0	0	0	0	"tile_6_11"	1
-78,92652686	2,314165834	-16,586	81	30,2095891	27,28	14,23	17,6	38,7	5,2	"tile_4_14"	1
