"x"	"y"	"z"	"id"	"BHD"	"h"	"crownLength"	"crownArea"	"crownVolume"	"crownDiameter"
-83,48467459	95,86970097	-71,232	77	41,86698378	36,55	18,55	26,9	61,7	6
-79,36001645	97,96536403	-71,81	78	43,14943236	34,04	20,99	24,4	56,9	5,9
-69,36194202	85,35868131	-62,546	79	12,47202381	14,4	8,5	8,1	18,6	3,6
-88,19360784	98,34736686	-73,226	80	42,614	29,92	11,97	26,7	50,4	6,1
17,704124	-24,08584267	6,406	81	14,94506667	9,85	0	0	0	0
-42,45386268	73,7884278	-51,844	82	55,80907317	37,67	30,87	50,2	114,9	8,3
-71,06100708	90,40291679	-63,752	83	28,54803934	20,29	0	0	0	0
-80,33854904	84,43096494	-64,034	84	34,85982118	26,93	16,23	24,1	45,6	5,7
18,16090623	-24,7980382	6,496	85	48,34897756	36,26	22,81	98,7	120,2	11,8
-16,80794933	93,58312933	-57,886	86	40,9304	34,57	0	0	0	0
-77,38716	105,531576	-74,599	87	41,06293333	28,73	9,28	6,5	18,1	3
-93,90127238	85,11919619	-67,793	88	45,96807619	32,93	20,28	31,6	67,5	6,6
-77,01644229	87,13747124	-65,123	89	32,76415238	29,31	14,16	17,1	29,7	5,3
-91,78371486	86,33270381	-67,905	90	60,81775238	36,33	0	0	0	0
-8,689096627	10,01766072	-0,021	91	46,50306827	29,01	0	0	0	0
-95,71312916	59,49331107	-52,843	92	4,740203612	2,1	0	0	0	0
-89,78213333	75,87889667	-62,495	93	48,944	38,28	28,98	23,5	50,8	5,6
-55,73910528	82,93201083	-58,797	94	3,823548619	1,99	0	0	0	0
-55,97405282	82,95283865	-59,129	95	7,928941725	1,66	0	0	0	0
-97,02245733	88,54954267	-69,267	96	31,70453333	24,83	0	0	0	0
13,05172866	-20,47940478	6,72	97	13,97564179	30,54	0	0	0	0
-14,61508286	91,84376152	-55,402	98	47,4784	36,47	31,92	21,8	55	5,7
-4,7308435	42,19041075	-18,522	99	35	32,99	27,89	56,5	100,4	10
-46,56984086	108,5148826	-70,877	100	38,39220601	32,79	14,89	34,1	69,8	6,9
-99,11676933	72,716404	-61,453	101	45,92426667	34,83	0	0	0	0
-46,3035472	108,981916	-70,778	102	46,05616	34,54	16,59	52,8	88,4	8,6
-99,33809936	76,95226221	-64,252	103	32,97898528	29,49	0	0	0	0
-58,99396885	52,62083967	-47,541	104	5,794295082	3,62	0	0	0	0
-53,95952592	106,6657674	-70,631	105	50,98111588	33,15	23,95	28	68,1	6,2
-101,3700811	61,58523686	-56,1	106	45,76005714	33,69	28,14	34,5	68,1	8,6
-92,95359395	65,33045471	-57,676	107	37,295494	34,99	0	0	0	0
-102,7610669	77,77472	-65,219	108	43,66362771	30,54	13,49	14,8	35,1	4,6
-100,9940699	58,10407029	-53,928	109	47,46864762	29,97	0	0	0	0
-61,57447094	81,48780766	-58,157	110	12,23660199	0,83	0	0	0	0
-52,81004	110,1342958	-71,394	111	44,14801399	28,3	24,2	25,5	61,7	5,9
6,965222911	90,67095359	-44,935	112	26,56520112	28,52	19,02	16,7	55	4,9
5,234670857	128,1888411	-71,96	113	44,01085714	29,12	13,22	37,5	75,8	7,8
11,73772943	101,5385749	-52,707	114	54,21101796	32,18	0	0	0	0
6,266189905	98,3646781	-52,573	115	36,79748571	35,56	22,16	31,9	72,8	6,8
9,985070857	96,38014971	-48,334	116	44,14365714	24,97	0	0	0	0
5,510070571	101,7787551	-55,972	117	44,77771429	26,52	0	0	0	0
-1,514686918	109,694083	-64,176	118	37,02368941	24,48	19,88	36,5	66,8	7,1
-1,285370881	109,4245773	-63,872	119	8,842405087	2,94	0	0	0	0
0,338609143	116,7386347	-67,322	120	55,61775238	35,64	13,04	49,5	71,6	8,5
-4,932367447	108,8521612	-64,609	121	26,55348944	24,44	17,49	20,8	60	5,3
-10,04503957	120,7187843	-74,341	122	32,6612973	23,64	11,24	21,6	49	5,8
-16,71623767	125,3305517	-79,136	123	25,70982493	20,88	0	0	0	0
-28,12296714	115,1939071	-74,675	124	34,01942857	26,94	20,09	34,6	82,7	7,2
-5,661616259	106,5826182	-62,653	125	33,65303741	31,86	24,41	25,8	54,9	6,1
-7,976111714	121,755362	-73,849	126	35,29417143	26,96	13,66	22,3	37	5,8
-14,30092727	101,7534391	-63,159	127	30,64666667	28,1	22,9	27	86,2	6,5
-11,09186833	125,466655	-77,249	128	39,9672	24,81	21,71	27,4	61,2	6,2
-0,970214667	100,3982661	-57,135	129	49,12007619	31,74	0	0	0	0
-1,101420381	106,7018923	-61,171	130	25,56900634	25,43	12,13	21	43,4	5,8
-3,256278137	119,7035303	-70,926	131	53,22626087	32,58	0	0	0	0
0,959775614	96,49986281	-54,164	132	43,68407018	34,85	20,2	18,2	36,9	5,2
-16,73522379	98,73511212	-61,075	133	40,93664143	36,84	0	0	0	0
-14,70918078	89,51142653	-54,427	134	37,72522272	29,95	0	0	0	0
-31,63498	113,1713044	-74,129	135	4,974133333	1,79	0	19,3	19,1	5,4
-3,684222609	89,0582687	-48,772	136	34,1066087	28,45	23,7	14,1	54,8	4,4
0,185150095	129,1867208	-74,832	137	40,01786667	28,9	23,6	25,8	52,6	6,3
2,559914667	120,1147749	-68,129	138	57,56346667	37,12	31,12	42,9	69,2	7,6
-41,02201027	106,5429704	-71,587	139	7	1,74	0	0	0	0
-45,75961067	114,229152	-72,213	140	35,00986667	32,03	29,13	51,5	142,4	8,6
-18,81114101	100,5875039	-63,3	141	57,08248739	42,32	17,92	52,6	116	8,7
-16,42554125	105,5024725	-66,459	142	60	40,85	39,45	70,8	224,6	9,9
