"x"	"y"	"z"	"id"	"BHD"	"h"	"crownLength"	"crownArea"	"crownVolume"	"crownDiameter"
-71,16672656	-49,81911278	-40,095	1	11,39583254	10,62	0	0	0	0
-79,32975701	14,86988299	-40,36	2	32,07026866	30,34	22,54	27,4	72,5	6,4
-13,00268439	9,914247642	-6,441	3	25,37930081	25,68	19,88	17,6	30,4	5,2
-113,500301	-16,04334732	-63,855	4	41,95868435	40,23	31,18	31,4	109,1	6,9
-113,3305269	-18,2902381	-64,635	5	59,98045714	47,03	21,48	93,1	246,3	11,5
-109,7765305	0,472153167	-59,854	6	42,9087	37,43	25,63	31,4	86,8	6,9
-108,6366091	-9,769889111	-61,166	7	41,86804444	38,63	29,53	27,8	104,2	6,2
-119,149723	-22,59088133	-68,017	8	46,87001905	37,48	33,18	141,3	157,1	15,6
-122,7447991	-20,15034701	-70,871	9	62,49184181	41,89	39,59	51,8	106,8	9
-123,7131157	-11,27927667	-69,609	10	55,87823529	39,97	36,47	52,3	130,2	8,4
-94,38470505	10,86789004	-45,218	11	57,67500351	34,22	0	0	0	0
-105,0104141	6,545440694	-54,414	12	20,86627438	17,99	0	0	0	0
-119,4233326	-11,85900277	-67,045	13	54,15190769	40,84	31,99	23,6	69,2	5,8
-109,144253	-2,761612381	-59,387	14	65,44228571	45,5	42,1	51,4	178,1	8,8
-98,25301015	17,63189062	-49,638	15	20,39698462	21,36	14,76	20	50,9	5,3
-117,7396634	-30,02997135	-66,895	16	34,37036879	37,17	12,32	13,7	36,9	4,4
-30,35483587	-17,11777718	-14,496	17	60,21770492	41,16	36,81	83,3	261,6	11,6
-79,36969976	19,66357215	-41,404	18	26,49657143	22,33	10,48	27,9	41,5	6,4
-125,6822254	-22,83259273	-72,378	19	53,83181395	38,23	0	0	0	0
-124,378587	-30,30100664	-70,946	20	43,68283304	3,26	0	0	0	0
-122,7045731	-29,518776	-70,336	21	37,63211429	35,75	23,85	22	84,7	5,6
-118,2220353	-32,220672	-67,3	22	33,76173333	28,73	26,23	26,7	99,6	8,6
-120,1582859	8,979920571	-63,164	23	57,76571429	46,07	32,97	50,1	103,6	8,4
-89,68477276	26,37663086	-47,655	24	36,58247619	33,54	0	0	0	0
-11,7760266	-10,87607761	-2,076	25	52,56419139	39,28	34,33	54,6	165,9	9,1
-75,87082365	8,402010726	-37,783	26	38,87063687	42,53	38,23	45,3	98,6	8,1
