"x"	"y"	"z"	"id"	"BHD"	"h"	"crownLength"	"crownArea"	"crownVolume"	"crownDiameter"
17,11384762	57,61617762	-24,294	190	41,93685714	29,49	18,74	24,6	41,6	6
-72,35607218	62,06468295	-14,497	191	29,29148718	28,32	17,67	14,5	32,4	4,6
-49,32368813	55,59309447	-14,299	192	43,22466667	31,37	24,67	30	77,1	6,4
-49,01965619	31,56280362	-6,083	193	39,69066667	27,71	21,71	31,9	58	7
3,496487143	9,30790619	-3,407	194	27,80657143	25,58	12,58	20,4	40,5	5,9
6,553818261	17,74402348	-7,529	195	33,78452174	22,39	12,64	17,7	44	5,3
-0,797438422	-5,566874198	3,385	196	37,10202545	27,84	25,84	51,1	85,2	8,5
3,380136494	33,76088273	-13,117	197	32,04984416	26,25	18,7	20	54,3	5,4
-9,705519661	13,6998839	-4,408	198	26,83789831	25	14,4	22,8	43,6	6
4,589364867	54,73682396	-21,609	199	33,27976911	30,05	14,65	19,1	36	5,4
-47,88192993	29,78479136	-6,225	200	46,60673732	30,65	26,6	22	46,5	5,9
-56,97934533	34,89067267	-7,086	201	31,81706667	30,75	0	0	0	0
20,5297461	41,93131086	-18,808	202	43,43939048	29,6	21,4	24,6	60,2	5,9
-21,01931689	26,89236879	-8,803	203	28,8896965	26,33	21,28	35	67,5	7,2
19,2323061	48,91868325	-21,22	204	34,81701299	25,49	12,94	35,8	60,9	7,1
18,08561333	44,749968	-19,55	205	40,99211429	28,31	20,56	13,9	21	4,5
23,60349056	48,88571366	-21,648	206	31,61923944	24,96	16,81	25,4	48,7	6,5
-19,96701686	45,94188886	-16,225	207	26,83502857	24,4	18,2	23,6	48,4	5,9
13,34580533	43,64156357	-18,771	208	33,35824363	27,54	15,29	22,9	24,7	5,7
-25,13680838	44,78746125	-14,568	209	31,736275	28,49	15,99	26,3	49,8	6,2
-22,8458478	60,23278102	-20,523	210	46,18233898	30,31	22,11	38,2	56,4	7,5
-15,98004182	50,87960126	-18,244	211	29,81306667	24,79	0	0	0	0
