"file.name";"x";"y"
"Bestand2";9,3014767395631;-42,5306185811193
"Bestand2";12,8970286163745;-20,9573073202509
"Bestand2";12,8970286163745;8,01861074581757
"Bestand2";-0,427663632985471;10,9796534678976
"Bestand2";-5,50373687083686;12,8831809320918
"Bestand2";-13,7523558823454;13,7291931384004
"Bestand2";-45,6893166704938;18,5937633246747
"Bestand2";-59,6485180745852;21,5548060467547
"Bestand2";-86,9324117280365;27,6883945424918
"Bestand2";-117,600354206722;24,7273518204118
"Bestand2";-155,670903490608;19,6512785825604
"Bestand2";-171,110626255739;16,6902358604804
"Bestand2";-201,144059579693;8,44161684897185
"Bestand2";-225,255407459487;10,133641261589
"Bestand2";-237,945590554116;4,00005276585188
"Bestand2";-249,789761442436;-8,90163338035377
"Bestand2";-251,481785855053;-24,9758653002166
"Bestand2";-232,658014264687;-30,051938538068
"Bestand2";-207,700654178584;-32,1669690538394
"Bestand2";-185,704336814562;-34,2819995696108
"Bestand2";-166,880565224196;-36,6085331369593
"Bestand2";-147,210781427522;-42,5306185811193
"Bestand2";-124,791457960345;-40,627091116925
"Bestand2";-90,3164605532707;-49,9332253863193
"Bestand2";-59,0140089198538;-51,2022436957821
"Bestand2";-37,8637037621396;-52,2597589536678
"Bestand2";-24,1160054096254;-53,7402803147078
"Bestand2";-16,7133986044254;-59,0278566041364
"Bestand2";7,39794927536879;-67,4879786672221
