"x";"y";"z";"id";"BHD";"h";"crownLength";"crownArea";"crownVolume";"crownDiameter";"f";"v"
-133,6546053;-39,726956;-77,213;139;16,2752;11,82;3,77;5,9;7,6;4,8;0,494431799391264;0,121581198694023
-170,5695302;10,98837004;-93,466;140;26,41122807;27,39;12,89;10,2;17,5;4;0,4916298476524;0,737729833297142
-192,9116231;-19,76470581;-96,513;141;25,79852278;24,76;12,71;14,6;30;4,6;0,487875155510133;0,631449905362468
-190,237416;-18,11124114;-96,715;142;27,34045714;26,71;0;0;0;0;0,485632374593873;0,761522858859279
-177,3019747;13,97341337;-96,938;143;38,42119047;32,29;0;0;0;0;0,456356467806835;1,70845589193274
-193,9318379;-30,8676128;-95,994;144;25,96012422;23,96;15,21;26,1;46,8;6,1;0,484732935285807;0,614741817142091
-173,1457638;-31,47427767;-96,502;145;8,865689915;2,47;0;0;0;0;0,564006021038905;0,00859994452462236
-195,8561592;-25,31321371;-96,841;146;32,5535619;23,11;0;0;0;0;0,452164845244852;0,869728396286832
-202,84674;-20,34429971;-96,977;147;30,66156938;31,35;27,45;28,8;70,2;6,4;0,481636782520756;1,11489978838625
-187,3292381;-23,16871333;-96,454;148;26,97238095;22,71;0;0;0;0;0,475655963689467;0,617217927014493
-204,4840575;-29,41792114;-94,221;149;23,0743252;25,09;0;0;0;0;0,50302090125019;0,527757716396262
-189,3901122;-23,59032863;-96,94;150;22,722;22,95;15,45;12,6;32,6;4,2;0,499096623195905;0,464462134559351
-168,658916;13,88092533;-92,116;151;37,1768;30,56;27,41;31;58,3;6,6;0,456658712562458;1,51488264201933
-196,7907943;-18,713834;-96,803;152;34,7976;30,6;16,65;35,1;91,8;7;0,464740534762001;1,35244759009178
-191,7311909;-2,925053235;-101,397;153;30,45682353;29,28;10,88;23,7;46,5;6;0,478181755619769;1,02005401561362
-197,4403726;-22,68987667;-96,715;154;34,13260228;28,49;0;0;0;0;0,462259302441184;1,20505478286739
-195,9415041;7,989652561;-103,999;155;13,51129825;29,1;0;0;0;0;0,561073264562342;0,234097408873239
-192,8991937;2,705073529;-102,662;156;15,51317647;14,84;0;0;0;0;0,519797909145565;0,145800756116705
-199,1100018;-30,96537389;-95,039;157;32,32629235;24,67;22,87;29,5;58,6;6,9;0,458409580870052;0,92816355015964
-201,1583826;-23,40069886;-96,821;158;28,22274286;24,59;12,09;20,5;39,9;5,5;0,475738769678771;0,731838736223075
-190,3666168;-18,32873944;-96,679;159;5,813469244;5,73;0;0;0;0;0,605914435033301;0,00921566248536556
-190,612868;-0,972980282;-102,023;160;11,45731187;8,48;0;0;0;0;0,5333923734999;0,0466334992646832
-197,1947228;-30,08418077;-95,923;161;23,08981538;20,64;0;0;0;0;0,489216893507815;0,422806777895534
-196,8278981;7,201697575;-104,075;162;11,38299473;20,87;15,22;10,4;20,9;4;0,558162103431802;0,118545683934961
-213,902615;-13,5388629;-97,229;163;29,11662778;23,15;0;0;0;0;0,467009034912811;0,719860441667099
-205,2029543;-28,749584;-94,503;164;26,31771429;26,54;24,14;16,3;17;4,8;0,490031431768951;0,707474959794088
-210,04363;-16,57804046;-97,123;165;33,36058462;29,96;25,21;26,2;81,6;6,1;0,468486145477303;1,22686209255846
-217,2499364;-14,64428052;-96,377;166;26,38695717;27,6;13,7;10,6;22;4,2;0,49223099451725;0,742927688132582
-199,2304003;-20,87883296;-96,888;167;28,04969014;27,52;22,37;16,5;15,3;5,7;0,48438812219363;0,823735783131448
-192,9725656;-8,740745864;-98,971;168;26,79257941;28,33;18,33;34,7;100,2;6,9;0,491972571162703;0,785789822164185
-186,6447849;-9,439524665;-99,647;169;33,53648145;29,44;0;0;0;0;0,466677092497318;1,21361004373513
-197,8291;7,71322;-103,903;170;33,324;32,59;16,19;21,6;49,9;5,5;0,473933914851678;1,34711999239836
-213,1936593;-11,86926639;-97,79;171;31,59980952;30,23;22,28;21,5;51,2;5,5;0,475701901378889;1,12779936399727
-191,9342851;-7,36994176;-99,517;172;24,054736;22,73;0;0;0;0;0,490938645258299;0,50712815981481
-206,7699139;-22,97422879;-95,661;173;44,49274754;33,4;23,75;29,9;51,7;6,3;0,441362825574297;2,29197855692434
-194,0024779;-6,71377688;-99,465;174;14,776912;30,38;21,58;18;39,1;5,1;0,557544541338862;0,290485589801725
-209,2251257;-2,300475474;-100,232;175;7,4868;12,03;5,28;2,8;2,6;2,2;0,566453004598561;0,0299993508217015
-209,285515;-2,495796667;-99,96;176;23,03133333;22,24;0;0;0;0;0,495117369850928;0,458744624885479
-193,9160741;-20,5911136;-96,445;177;7,30390991;13,16;11,56;5,3;13,6;2,8;0,565318092492695;0,0311709092707119
-199,2039061;3,265144805;-102,487;178;16,80969735;16;9,85;13,9;27,3;4,4;0,513980376474646;0,182505598240613
-194,1868495;0,515204541;-101,913;179;16,07988108;20,99;0;0;0;0;0,535787491345055;0,228381307661632
-207,4240406;7,300282394;-102,924;180;20,1151831;30,48;0;0;0;0;0,529876708244217;0,513248458837301
-192,7946509;-7,434088397;-99,41;181;11,0513486;14,61;8,11;4,7;10,2;2,6;0,552744672050704;0,0774631617234928
