"";"x";"y";"z";"id";"BHD";"h";"crownLength";"crownArea";"crownVolume";"crownDiameter";"f";"v"
"80";-100,6638322;77,38431935;-16,062;80;29,07286957;25,95;22,4;17;29,2;5;0,475824169871891;0,819689820950911
"81";-81,26999886;56,9925351;-12,104;81;31,0984898;26,65;16,6;18,3;18,8;5,3;0,469163406338285;0,94970740511416
"82";-76,74703804;80,67808947;-20,459;82;21,73087347;27,47;25,32;25,4;55,6;6,1;0,515762992286275;0,525476240137649
"83";0,262923692;41,53122908;-16,586;83;33,25544615;27,39;19,74;27,8;68,3;6,1;0,462699475913365;1,10079507661605
"84";-102,2986564;79,34670845;-16,431;84;31,07919398;24,49;18,54;9,2;7,8;3,7;0,462916065809914;0,860043492728897
"85";7,806972584;49,74815449;-20,246;85;37,95635955;27,43;16,43;29,1;33,5;6,6;0,446409441418265;1,38553711544889
"86";10,47550244;53,565177;-21,84;86;33,54641221;28,17;18,32;29;55,7;6,5;0,463611227873909;1,15431099392416
"87";5,238426873;72,71530203;-27,669;87;13,52629973;2,35;0;0;0;0;0,275227567111654;0,00929410743352859
"88";2,684530333;19,57529833;-7,584;88;33,74053333;27,53;15,58;29,4;55,9;6,4;0,461259270337856;1,13539005701773
"89";-76,46324519;89,40792061;-21,597;89;6,300142494;3,88;0;0;0;0;0,62816323552749;0,00759792262215928
"90";-38,67922982;29,87467006;-6,852;90;37,20706433;23,52;0;0;0;0;0,436371734017167;1,11592400642368
"91";-3,98029;19,07693714;-7,122;91;28,24257143;26,28;8,03;9,7;17,1;4;0,480407199539174;0,790921208311047
"92";-68,21454298;79,38838531;-20,907;92;8,474857143;19,67;0;0;0;0;0,562277729249824;0,0623892688372096
"93";-89,19124232;79,1821;-18,556;93;4,077747368;4,67;2,92;2,9;2,6;2,2;0,678744048586014;0,00413955282186928
"94";-1,217776973;20,07376141;-7,953;94;25,8155027;24,83;13,43;24;49,6;6,1;0,487986690839885;0,634213892565941
"95";-4,832829333;64,5185261;-23,865;95;42,33059048;24,25;18,3;33,4;50,3;6,8;0,422819051119606;1,44299499498792
